comparison_type	section	disease	left_trait	right_trait	rg	rg_se	left_h2	left_h2_se	right_h2	right_h2_se	left_source_url	right_source_identifier	right_source_url	intercept_gencov	intercept_gencov_se	intercept_left_h2	intercept_left_h2_se	intercept_right_h2	intercept_right_h2_se	intercept_constrained	overlap_status	archive_status	notes	ldsc_version	intercept_command_mode	log_file	run_status
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	ADHD	0.506	0.0487	0.095	0.0096	0.164	0.0073	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC ADHD 2023 European release; Figshare file 40036684	NA	0.0165	0.0073	1.0139	0.0079	1.0291	0.0101	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__ADHD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	AN	0.2168	0.0549	0.095	0.0096	0.2494	0.0166	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	Watson et al. 2019 anorexia nervosa European summary statistics	NA	0.0444	0.007	1.0054	0.0092	1.0227	0.011	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__AN.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	ANX	0.819	0.041	0.095	0.0096	0.0776	0.0028	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC anxiety meta-analysis excluding UTAH; Figshare article 31389910, file 62089324; doi:10.6084/m9.figshare.31389910.v1	NA	0.0633	0.0067	1.0136	0.0073	1.0406	0.011	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__ANX.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	ASD	0.3871	0.0704	0.095	0.0096	0.2035	0.0178	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	Grove et al. 2019 ASD European summary statistics	NA	-0.0014	0.0071	1.0178	0.0087	1.0023	0.0101	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__ASD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	AUD	0.33	0.0401	0.095	0.0096	0.085	0.0035	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	Nature Medicine 2023 European AUD meta-analysis; AUD_EUR_Aug2023.txt.gz	NA	0.0412	0.0056	1.0134	0.0072	1.042	0.0074	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__AUD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	BD_PGC2021	0.4861	0.0454	0.095	0.0096	0.2788	0.0114	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC bipolar disorder 2021 summary statistics	NA	0.1133	0.0067	1.0144	0.0074	1.0344	0.0115	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__BD_PGC2021.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	CUD_2023_EUR	0.3965	0.0495	0.095	0.0096	0.0874	0.0045	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	2023 European CUD meta-analysis	NA	0.0127	0.0066	1.013	0.0073	0.996	0.0094	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__CUD_2023_EUR.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	OCD_2025	0.5026	0.0565	0.095	0.0096	0.3164	0.0203	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	2025 OCD GWAS, non-23andMe leave-UKB-out file	NA	0.0259	0.0063	1.0136	0.0076	1.0239	0.0079	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__OCD_2025.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	PTSD	0.7506	0.0531	0.095	0.0096	0.0543	0.0023	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC PTSD Freeze 3 European case-control; Figshare article 26349322, file 52065146; doi:10.6084/m9.figshare.26349322.v3	NA	0.0225	0.008	1.0135	0.0081	1.0339	0.0104	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	MDD_CLIN_PGC2025__PTSD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	MDD_CLIN_PGC2025	SCZ_PGC2022	0.4042	0.0357	0.095	0.0096	0.3876	0.0136	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	PGC schizophrenia wave 3 European summary statistics	https://figshare.com/articles/dataset/scz2022/19426775/7	0.1108	0.0065	1.0131	0.0073	1.0773	0.0166	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	SCZ_PGC2022__MDD_CLIN_PGC2025.log	log_parsed
