model	comparison	predictor	phi_left	phi_right	delta_phi_left_minus_right	paired_jackknife_SE	CI95_low	CI95_high	z	P	min_delete_one_delta	max_delete_one_delta	direction_reversals_200	BH_q_within_comparison_model
primary_six	broad_minus_narrow	BD_PGC2021	0.296896297436351	0.21947233253377	0.0774239649025815	0.0502820329395628	-0.0211270087284182	0.175974938533581	1.53979384635546	0.123610612397763	0.066370321823852	0.0865292469759562	0	0.185415918596644
primary_six	broad_minus_narrow	MDD_CLIN_PGC2025	0.129051894515297	0.0258396715238833	0.103212222991414	0.0471065716102764	0.0108850392001153	0.195539406782713	2.19103661046091	0.0284491432396249	0.0940474240956684	0.112394759929972	0	0.0853474297188747
primary_six	broad_minus_narrow	ADHD	0.0131297452186206	0.0163505729908474	-0.00322082777222682	0.0147963057028006	-0.0322210540539606	0.025779398509507	-0.217677833705287	0.827680135689236	-0.00648986727866415	-8.39140728092005e-05	0	0.827680135689236
primary_six	broad_minus_narrow	OCD_2025	0.0391741256998959	0.0299514688021921	0.00922265689770371	0.0176365571893683	-0.0253443600047391	0.0437896738001465	0.522928415034616	0.601024069831171	0.00591668547055235	0.0121572291385505	0	0.721228883797405
primary_six	broad_minus_narrow	PTSD	0.0488437260580156	0.0118353679090096	0.037008358149006	0.0098175861455012	0.0177662428887042	0.0562504734093077	3.76959851439293	0.000163510360333747	0.0344890852617952	0.0390473184492479	0	0.000981062162002481
primary_six	broad_minus_narrow	AUD	0.0437268741140087	0.0138955159123147	0.029831358201694	0.0147206818618374	0.000979351924620609	0.0586833644787674	2.0264929628722	0.0427142931371758	0.0266907240273169	0.0330216212280355	0	0.0854285862743517
sensitivity_all_ten	narrow_minus_PGC	MDD_CLIN_PGC2025	0.0194968563924337	0.0314707078433897	-0.0119738514509559	0.0245394568259944	-0.0600703030300805	0.0361226001281686	-0.48794280720477	0.625590352273673	-0.0158532070842247	-0.0040902676235194	0	0.695100391415193
sensitivity_all_ten	narrow_minus_PGC	BD_PGC2021	0.205862466747523	0.280233418062113	-0.0743709513145898	0.0493163746881737	-0.171029269551493	0.0222873669223133	-1.50803768088866	0.131544883351025	-0.0845358486432722	-0.0630859876588694	0	0.328862208377562
sensitivity_all_ten	narrow_minus_PGC	PTSD	0.00833336131227205	0.0235003963101315	-0.0151670349978594	0.00592223363391505	-0.0267743996283647	-0.00355967036735417	-2.56103286959195	0.0104361481855518	-0.0159880764025688	-0.0123706779302281	0	0.0347871606185061
sensitivity_all_ten	narrow_minus_PGC	ANX	0.0104647099741281	0.0328515484123391	-0.022386838438211	0.00752651390731256	-0.0371385346256834	-0.00763514225073852	-2.97439674116068	0.00293565240874229	-0.0240367016663208	-0.02075409904028	0	0.0146782620437114
sensitivity_all_ten	narrow_minus_PGC	ADHD	0.0261486677363917	0.0140850227417417	0.01206364499465	0.0199369342000617	-0.0270120279996157	0.0511393179889158	0.605090274843398	0.54511901570925	0.00792370172064568	0.0170940670378666	0	0.681398769636563
sensitivity_all_ten	narrow_minus_PGC	ASD	0.0212938001050324	0.0229304059518486	-0.00163660584681614	0.0224484716236223	-0.0456348017370852	0.042361590043453	-0.0729050010288432	0.941881714291065	-0.00575881552386902	0.00394529232298094	32	0.941881714291065
sensitivity_all_ten	narrow_minus_PGC	OCD_2025	0.0208130933190145	0.0356870900313731	-0.0148739967123585	0.0194967829709067	-0.0530869891497295	0.0233389957250124	-0.762894921411069	0.445526065227642	-0.0181452172219915	-0.0102429889155135	0	0.636465807468061
sensitivity_all_ten	narrow_minus_PGC	AN	0.0062042879160678	0.0130004076437762	-0.00679611972770838	0.00831049016839182	-0.0230843811516305	0.00949214169621379	-0.817776038476863	0.413485082644884	-0.00833409563794099	-0.00453541805337883	0	0.636465807468061
sensitivity_all_ten	narrow_minus_PGC	AUD	0.0126776726484803	0.0287741509746467	-0.0160964783261664	0.0144778067908761	-0.044472458211413	0.0122795015590802	-1.11180364254553	0.266222585385648	-0.0195944911451194	-0.0132906206907853	0	0.532445170771295
sensitivity_all_ten	narrow_minus_PGC	CUD_2023_EUR	0.00691384621695258	0.0458203945968421	-0.0389065483798895	0.0111739413063139	-0.0608070709056291	-0.0170060258541499	-3.48190019200345	0.000497869223570778	-0.0413614362370194	-0.0362513648817616	0	0.00497869223570778
sensitivity_all_ten	broad_minus_PGC	MDD_CLIN_PGC2025	0.0988144689436126	0.0314707078433897	0.0673437611002229	0.0507191421304843	-0.0320639308022944	0.16675145300274	1.32777800000972	0.184251456832924	0.0587756353249951	0.0774288905974625	0	0.560489254832621
sensitivity_all_ten	broad_minus_PGC	BD_PGC2021	0.270135317434049	0.280233418062113	-0.010098100628064	0.039136558296903	-0.0868043453688461	0.0666081441127181	-0.258022193762068	0.796389778873563	-0.0172215233015348	-0.00136798560880419	0	0.796389778873563
sensitivity_all_ten	broad_minus_PGC	PTSD	0.0346820124959933	0.0235003963101315	0.0111816161858618	0.0059288749595915	-0.00043876520377893	0.0228019975755025	1.88595918484882	0.0593004549578209	0.0101426658584837	0.0122821941828988	0	0.296502274789104
sensitivity_all_ten	broad_minus_PGC	ANX	0.045285188524198	0.0328515484123391	0.0124336401118589	0.0102296862534632	-0.00761617651807358	0.0324834567417913	1.21544686745886	0.224195701933049	0.0107006915596432	0.0141709495925198	0	0.560489254832621
sensitivity_all_ten	broad_minus_PGC	ADHD	0.0127170924710789	0.0140850227417417	-0.00136793027066274	0.00507586863538245	-0.0113164499862688	0.00858058944494333	-0.26949678349185	0.787547417091108	-0.00249200156751927	-0.000196543018283283	0	0.796389778873563
sensitivity_all_ten	broad_minus_PGC	ASD	0.033112802176445	0.0229304059518486	0.0101823962245964	0.018483397099697	-0.0260443964027617	0.0464091888519545	0.550894198164653	0.58170620492023	0.00709887638845015	0.0133840703215344	0	0.796389778873563
sensitivity_all_ten	broad_minus_PGC	OCD_2025	0.0261191388236473	0.0356870900313731	-0.00956795120772581	0.0100683943045479	-0.0293016414267879	0.0101657390113363	-0.950295639832455	0.341962053758626	-0.0114871337895687	-0.00736490316883985	0	0.683924107517252
sensitivity_all_ten	broad_minus_PGC	AN	0.0245693167116918	0.0130004076437762	0.0115689090679156	0.0149638753857994	-0.0177597477573965	0.0408975658932278	0.773122521382024	0.43944987369481	0.00866172897884361	0.0149410615512241	0	0.732416456158017
sensitivity_all_ten	broad_minus_PGC	AUD	0.0358176338912352	0.0287741509746467	0.00704348291658848	0.0179970258846934	-0.0282300396462456	0.0423170054794226	0.39136927188503	0.695524302099987	0.00368946257317049	0.0110083633610918	0	0.796389778873563
sensitivity_all_ten	broad_minus_PGC	CUD_2023_EUR	0.0222502716712335	0.0458203945968421	-0.0235701229256086	0.0115828111399847	-0.0462720155997079	-0.00086823025150928	-2.03492249340429	0.0418586723121196	-0.0256698563641358	-0.0212468293871989	0	0.296502274789104
sensitivity_all_ten	broad_minus_narrow	MDD_CLIN_PGC2025	0.0988144689436126	0.0194968563924337	0.0793176125511788	0.0445412785335713	-0.00798168919998786	0.166616914302346	1.78076640730904	0.0749506194131457	0.0710110761042125	0.0879941537106934	0	0.187376548532864
sensitivity_all_ten	broad_minus_narrow	BD_PGC2021	0.270135317434049	0.205862466747523	0.0642728506865258	0.0481673593961793	-0.0301334389603826	0.158679140333434	1.33436525257442	0.18208418196451	0.0535478493516665	0.0732086685119067	0	0.2601202599493
sensitivity_all_ten	broad_minus_narrow	PTSD	0.0346820124959933	0.00833336131227205	0.0263486511837212	0.0068104679033139	0.01300037937536	0.0396969229920825	3.86884595269882	0.000109351699767464	0.0240819488619058	0.0273697959572952	0	0.00109351699767464
sensitivity_all_ten	broad_minus_narrow	ANX	0.045285188524198	0.0104647099741281	0.0348204785500698	0.0100248495470981	0.0151721344873248	0.0544688226128149	3.4734165721369	0.000513877094171971	0.0326732602887787	0.0365374334150507	0	0.00256938547085986
sensitivity_all_ten	broad_minus_narrow	ADHD	0.0127170924710789	0.0261486677363917	-0.0134315752653128	0.0184199722580858	-0.0495340574873879	0.0226709069567623	-0.729185423143986	0.465888246645677	-0.0184716353514185	-0.00993048242994313	0	0.582360308307096
sensitivity_all_ten	broad_minus_narrow	ASD	0.033112802176445	0.0212938001050324	0.0118190020714126	0.0205715797093447	-0.028500553263998	0.0521385574068231	0.574530601849878	0.565608798451656	0.00504647907026888	0.0155312581772234	0	0.62845422050184
sensitivity_all_ten	broad_minus_narrow	OCD_2025	0.0261191388236473	0.0208130933190145	0.00530604550463273	0.0176811520573683	-0.0293483757329854	0.0399604667422509	0.300096141213916	0.764103822504661	0.00143855800277949	0.00824996220177958	0	0.764103822504661
sensitivity_all_ten	broad_minus_narrow	AN	0.0245693167116918	0.0062042879160678	0.018365028795624	0.0126995880327756	-0.00652570636711204	0.04325576395836	1.44611216901106	0.148145743092407	0.016017218818466	0.0209219051289946	0	0.246909571820678
sensitivity_all_ten	broad_minus_narrow	AUD	0.0358176338912352	0.0126776726484803	0.0231399612427549	0.0152860035956169	-0.00682005527220393	0.0530999777577137	1.51380058875494	0.130076423264073	0.0201278383852405	0.0262918183799354	0	0.246909571820678
sensitivity_all_ten	broad_minus_narrow	CUD_2023_EUR	0.0222502716712335	0.00691384621695258	0.0153364254542809	0.00729604629106217	0.00103643749426202	0.0296364134142998	2.10201866085587	0.0355516411763954	0.0138222978154398	0.0173315690707251	0	0.118505470587985
