Annotation	annotation_key	annotation_basename	annotation_class	published_label	domain	raw_covariance_PGC	raw_covariance_FinnGen	delta_FinnGen_minus_PGC	SE	z	P_two_sided	alpha_domain_29	Bonferroni_significant_domain_29	QC_model_warning_free	QC_zsmooth_ok	QC_primary_eligible	Bonferroni_significant_domain_29_primary	Annotation_model_warning	Annotation_model_error	Z_smooth_PGC	Z_smooth_FinnGen	max_abs_Z_smooth	contrast_status	finite_contrast	covariance_condition_number
GABA1L2	GABA1	GABA1L2	custom	GABA1	INT	0.00771242677243149	0.00345100356738949	-0.004261423205042	0.00198501811600058	-2.14679310515712	0.0318097564972323	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.916053414245615	0.916053414245615	0.916053414245615	sandwich captured	TRUE	11.7662276499394
GABA1L2	GABA1	GABA1L2	custom	GABA1	SUD	0.00396004127667593	-0.000509243634685747	-0.00446928491136167	0.00177408235435007	-2.51920938191112	0.0117618690705352	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.916053414245615	0.916053414245615	0.916053414245615	sandwich captured	TRUE	11.7662276499394
GABA2L2	GABA2	GABA2L2	custom	GABA2	COMP	0.0154419190259309	0.011004452100385	-0.00443746692554582	0.00470163086291106	-0.943814402902384	0.345264499199068	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	1.06099477479216	1.06099477479216	1.06099477479216	sandwich captured	TRUE	8.38715878732788
GABA2L2	GABA2	GABA2L2	custom	GABA2	INT	0.00797213106786771	0.00555260413380757	-0.00241952693406015	0.00212787380709888	-1.13706316887226	0.255511879434855	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	1.06099477479216	1.06099477479216	1.06099477479216	sandwich captured	TRUE	8.38715878732788
GABA2L2	GABA2	GABA2L2	custom	GABA2	SUD	0.00471097652633565	2.20997449263393e-05	-0.00468887678140931	0.00182269011537814	-2.57250354399192	0.0100965922216612	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	1.06099477479216	1.06099477479216	1.06099477479216	sandwich captured	TRUE	8.38715878732788
MGL2	MG	MGL2	custom	Microglia	COMP	0.00883190934619704	0.00697285075655695	-0.00185905858964008	0.00409295924362709	-0.454208918042542	0.649678464864996	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.664440400745171	0.664440400745171	0.664440400745171	sandwich captured	TRUE	11.8872340876136
MGL2	MG	MGL2	custom	Microglia	INT	0.00565777885451416	0.00310064131166082	-0.00255713754285333	0.0017120627845933	-1.49360033163782	0.135280112716858	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.664440400745171	0.664440400745171	0.664440400745171	sandwich captured	TRUE	11.8872340876136
MGL2	MG	MGL2	custom	Microglia	SUD	0.00403883597104642	0.00128316156586039	-0.00275567440518603	0.00142250496251687	-1.93719844766682	0.0527210899529121	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.664440400745171	0.664440400745171	0.664440400745171	sandwich captured	TRUE	11.8872340876136
NSCL2	NSC	NSCL2	custom	Neuronal Stem Cells	COMP	0.0107421524267253	0.00624270089490706	-0.00449945153181823	0.00458033679749457	-0.982340760242657	0.32593200027203	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.709494858093175	0.709494858093175	0.709494858093175	sandwich captured	TRUE	11.8428600949242
NSCL2	NSC	NSCL2	custom	Neuronal Stem Cells	INT	0.00711698647490587	0.00334724901316301	-0.00376973746174287	0.00181736826979609	-2.07428374556458	0.0380529664964686	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.709494858093175	0.709494858093175	0.709494858093175	sandwich captured	TRUE	11.8428600949242
NSCL2	NSC	NSCL2	custom	Neuronal Stem Cells	SUD	0.00404247722151097	0.00070641284407658	-0.00333606437743439	0.00147779464241125	-2.2574614101937	0.0239792581887123	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.709494858093175	0.709494858093175	0.709494858093175	sandwich captured	TRUE	11.8428600949242
ODCL2	ODC	ODCL2	custom	Oligodendrocytes	COMP	0.0123210280467656	0.0134563630977723	0.00113533505100668	0.0045685329205024	0.248511955755335	0.803738320814956	0.00172413793103448	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2.02336096842665	2.02336096842665	2.02336096842665	sandwich captured	TRUE	10.490646700246
ODCL2	ODC	ODCL2	custom	Oligodendrocytes	INT	0.00341639870422555	0.00333848316217452	-7.79155420510291e-05	0.0019678927385673	-0.0395933886659669	0.968417298387977	0.00172413793103448	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2.02336096842665	2.02336096842665	2.02336096842665	sandwich captured	TRUE	10.490646700246
ODCL2	ODC	ODCL2	custom	Oligodendrocytes	SUD	0.00382669453056664	0.00208147058047376	-0.00174522395009289	0.00147257441634022	-1.18515161660236	0.235957505874655	0.00172413793103448	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2.02336096842665	2.02336096842665	2.02336096842665	sandwich captured	TRUE	10.490646700246
OPCL2	OPC	OPCL2	custom	Oligodendrocyte Precursor Cells	COMP	0.0132383022878388	0.0046768784225298	-0.00856142386530899	0.00502007015607129	-1.70543908733123	0.0881125636301778	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.670391259952655	0.670391259952655	0.670391259952655	sandwich captured	TRUE	11.1991870588715
OPCL2	OPC	OPCL2	custom	Oligodendrocyte Precursor Cells	INT	0.00713932768857074	0.00222679948892498	-0.00491252819964576	0.00226387757447117	-2.16996195158358	0.0300097284515626	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.670391259952655	0.670391259952655	0.670391259952655	sandwich captured	TRUE	11.1991870588715
OPCL2	OPC	OPCL2	custom	Oligodendrocyte Precursor Cells	SUD	0.00550489349172973	0.000632776636421851	-0.00487211685530788	0.00177409320956921	-2.7462575410516	0.00602794233554967	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.670391259952655	0.670391259952655	0.670391259952655	sandwich captured	TRUE	11.1991870588715
PIL2	PI	PIL2	custom	PI Genes	COMP	0.0302451537282859	0.0214774163675875	-0.00876773736069843	0.00730205558749761	-1.20072180437935	0.229859133148393	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.706426980257223	0.706426980257223	0.706426980257223	sandwich captured	TRUE	10.2858488653658
PIL2	PI	PIL2	custom	PI Genes	INT	0.0142239713849828	0.00577766028178237	-0.00844631110320046	0.00324773118600031	-2.6006804810722	0.00930390648538947	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.706426980257223	0.706426980257223	0.706426980257223	sandwich captured	TRUE	10.2858488653658
PIL2	PI	PIL2	custom	PI Genes	SUD	0.00867686542625986	-0.00203863933515571	-0.0107155047614156	0.00252576984907225	-4.24247077197137	2.21072340275848e-05	0.00172413793103448	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.706426980257223	0.706426980257223	0.706426980257223	sandwich captured	TRUE	10.2858488653658
PI_x_ASC1L2	PI_x_ASC1	PI_x_ASC1L2	custom	PI x ASC1	COMP	NA	NA	NA	NA	NA	NA	0.00172413793103448	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.791063285327052	0.791063285327052	0.791063285327052	no sandwich capture	FALSE	NA
PI_x_ASC1L2	PI_x_ASC1	PI_x_ASC1L2	custom	PI x ASC1	INT	NA	NA	NA	NA	NA	NA	0.00172413793103448	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.791063285327052	0.791063285327052	0.791063285327052	no sandwich capture	FALSE	NA
PI_x_ASC1L2	PI_x_ASC1	PI_x_ASC1L2	custom	PI x ASC1	SUD	NA	NA	NA	NA	NA	NA	0.00172413793103448	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.791063285327052	0.791063285327052	0.791063285327052	no sandwich capture	FALSE	NA
PI_x_ASC2L2	PI_x_ASC2	PI_x_ASC2L2	custom	PI x ASC2	COMP	0.00240259393479042	-0.00274118063577747	-0.00514377457056789	0.00204255756876941	-2.51830090334584	0.0117922530777315	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1.21775463583206	1.21775463583206	1.21775463583206	sandwich captured	TRUE	9.66329605146281
PI_x_ASC2L2	PI_x_ASC2	PI_x_ASC2L2	custom	PI x ASC2	INT	0.00151120641860457	0.000241721183407427	-0.00126948523519714	0.000961242147873602	-1.32067163097812	0.186610877197552	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1.21775463583206	1.21775463583206	1.21775463583206	sandwich captured	TRUE	9.66329605146281
PI_x_ASC2L2	PI_x_ASC2	PI_x_ASC2L2	custom	PI x ASC2	SUD	0.000529677207391692	-0.00114158938397939	-0.00167126659137108	0.000734834557935216	-2.27434403203234	0.0229453096832455	0.00172413793103448	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	1.21775463583206	1.21775463583206	1.21775463583206	sandwich captured	TRUE	9.66329605146281
PI_x_ENDL2	PI_x_END	PI_x_ENDL2	custom	PI x Endothelial Cells	COMP	0.00479252975420737	0.0025769497953225	-0.00221557995888487	0.00252789905619038	-0.876451119936654	0.38078483817536	0.00172413793103448	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	0.749222712604719	0.749222712604719	0.749222712604719	sandwich captured	TRUE	9.42542195065288
