comparison	disease	domain	auxiliaries	n_aux	left_phbc	right_phbc	delta_pp	paired_jackknife_se_pp	ci95_low_pp	ci95_high_pp	z	p_two_sided	method	q_bh_26	survives_bh_0_05
MDD_EHR_minus_QUEST	MDD	neurodevelopmental	ADHD,ASD	2	0.377270077446008	0.221753318314181	15.5516759131827	2.90010146547372	9.86747704085423	21.2358747855112	5.36245924438455	8.20964953137708e-08	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	4.55391294595578e-07	TRUE
MDD_EHR_minus_QUEST	MDD	compulsive_eating	OCD_2025,AN	2	0.249329348410408	0.179988581090099	6.93407673203095	3.0623902035288	0.931791933114499	12.9363615309474	2.26426949904711	0.0235575443371218	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.0471150886742436	TRUE
MDD_EHR_minus_QUEST	MDD	substance	AUD,CUD_2023_EUR	2	0.305110913269666	0.164831449790173	14.0279463479493	2.50590422571864	9.1163740655408	18.9395186303579	5.59795789638626	2.16891407228113e-08	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	1.87972552931031e-07	TRUE
BD_FINNGEN_minus_CLIN	BD	mood_psychotic	SCZ_PGC2022	1	0.240680190463073	0.444425844068551	-20.3745653605478	4.58557117549237	-29.3622848645128	-11.3868458565827	-4.44319029861314	8.86347052557389e-06	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	2.88062792081151e-05	TRUE
BD_FINNGEN_minus_CLIN	BD	internalizing	PTSD,ANX	2	0.472697514089718	0.144087573459265	32.8609940630453	6.14134487831347	20.8239581015509	44.8980300245397	5.35078141908057	8.7575248960688e-08	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	4.55391294595578e-07	TRUE
BD_FINNGEN_minus_CLIN	BD	neurodevelopmental	ADHD,ASD	2	0.262314938345609	0.0291996384268961	23.3115299918713	5.07626839643265	13.3620439348633	33.2610160488793	4.59225718014704	4.38477547623324e-06	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	1.62863089117235e-05	TRUE
BD_FINNGEN_minus_CLIN	BD	compulsive_eating	OCD_2025,AN	2	0.179450143361241	0.112459093767632	6.6991049593609	4.75125805779263	-2.61336083391266	16.0115707526345	1.40996445107282	0.158550179950717	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.242488510512862	FALSE
BD_FINNGEN_minus_CLIN	BD	substance	AUD,CUD_2023_EUR	2	0.340288772696763	0.0850710174414602	25.5217755255303	5.18888668047628	15.3515576317968	35.6919934192638	4.91854555651767	8.71896266772362e-07	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	3.77821715601357e-06	TRUE
SCZ_FINNGEN_minus_PGC	SCZ	mood_psychotic	MDD_CLIN_PGC2025,BD_PGC2021	2	0.258039791710579	0.451232782366517	-19.3192990655937	5.16001259806721	-29.4329237578055	-9.205674373382	-3.74404106548697	0.000181084037027844	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.000523131662524882	TRUE
SCZ_FINNGEN_minus_PGC	SCZ	internalizing	PTSD,ANX	2	0.0369124798107968	0.165859264660348	-12.8946784849552	2.0696788077444	-16.9512489481342	-8.83810802177614	-6.23028000127623	4.65602247313795e-10	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	1.21056584301587e-08	TRUE
SCZ_FINNGEN_minus_PGC	SCZ	neurodevelopmental	ADHD,ASD	2	0.0354042080743965	0.068812071236555	-3.34078631621584	2.79545180898829	-8.81987186183289	2.1382992294012	-1.19507920167829	0.232056087131155	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.335192125856113	FALSE
SCZ_FINNGEN_minus_PGC	SCZ	compulsive_eating	OCD_2025,AN	2	0.0629900322765563	0.145543379838365	-8.25533475618086	3.26455057002824	-14.6538538734362	-1.85681563892552	-2.52878139857073	0.0114459291803572	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.0255482588954324	TRUE
SCZ_FINNGEN_minus_PGC	SCZ	substance	AUD,CUD_2023_EUR	2	0.022358693479634	0.139548177719529	-11.7189484239895	2.03764005173549	-15.712722925391	-7.72517392258791	-5.75123580536625	8.85934432281662e-09	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	1.15171476196616e-07	TRUE
