comparison	omitted_auxiliary	disease	condition	n_remaining	left_phbc_pp	right_phbc_pp	delta_pp	paired_jackknife_se_pp	ci95_low_pp	ci95_high_pp	z	p_two_sided	deviation_from_full_delta_pp	direction_matches_full	left_corrected_weight	right_corrected_weight	n_block	sample_rep	q_bh_26
MDD_FINNGEN_minus_QUEST	AUD	MDD	leave_one_auxiliary_out	7	47.2888982725207	36.8552762873553	10.4336219851655	3.96546882766576	2.66130308294057	18.2059408873903	2.6311194056989	0.00851041292773238	-1.73433424372891	TRUE	0.96875	0.96875	200	1000	0.00851041292773238
MDD_FINNGEN_minus_QUEST	BD_PGC2021	MDD	leave_one_auxiliary_out	7	47.1996911261857	34.6513349732452	12.5483561529405	3.79202341897943	5.11599025174082	19.9807220541402	3.30914521522594	0.000935812861050316	0.380399924046138	TRUE	0.96875	0.96875	200	1000	0.00128058602038464
MDD_FINNGEN_minus_QUEST	CUD_2023_EUR	MDD	leave_one_auxiliary_out	7	51.219074027268	39.2140919917147	12.0049820355533	4.03612184150733	4.0941832261989	19.9157808449076	2.97438543903568	0.00293576055164319	-0.162974193341098	TRUE	0.96875	0.96875	200	1000	0.00331868584098795
MDD_FINNGEN_minus_QUEST	OCD_2025	MDD	leave_one_auxiliary_out	7	50.5456596356768	38.2612833344758	12.284376301201	4.48676721099986	3.49031256764124	21.0784400347607	2.737912560091	0.00618305130601897	0.116420072306583	TRUE	0.96875	0.96875	200	1000	0.00643037335825973
MDD_FINNGEN_minus_QUEST	SCZ_PGC2022	MDD	leave_one_auxiliary_out	7	51.796230628947	38.0843354180877	13.7118952108593	4.04826185407183	5.77730197687848	21.64648844484	3.38710678931689	0.000706338882053184	1.54393898196489	TRUE	0.96875	0.96875	200	1000	0.00102026727407682
SCZ_FINNGEN_minus_PGC		SCZ	full_panel	10	22.3270628282196	49.5847416414103	-27.2576788131908	4.81458732224367	-36.6942699647884	-17.8210876615932	-5.66147771113398	1.50075001960019e-08	0	TRUE	0.8125	0.96875	200	1000	
SCZ_FINNGEN_minus_PGC	ADHD	SCZ	leave_one_auxiliary_out	9	20.9177726215332	48.6749139607483	-27.757141339215	4.6123621634119	-36.7973711795024	-18.7169114989277	-6.01798825760079	1.76598000779105e-09	-0.499462526024258	TRUE	0.8125	0.96875	200	1000	2.29577401012836e-08
SCZ_FINNGEN_minus_PGC	AN	SCZ	leave_one_auxiliary_out	9	25.8539499739626	49.3004275036286	-23.446477529666	5.41516347179601	-34.0601979343862	-12.8327571249458	-4.32978203738136	1.49256999195521e-05	3.81120128352475	TRUE	0.875	0.96875	200	1000	2.67641359702061e-05
SCZ_FINNGEN_minus_PGC	ANX	SCZ	leave_one_auxiliary_out	9	25.8547319426625	49.3362935575073	-23.4815616148449	5.2239731755809	-33.7205490389834	-13.2425741907063	-4.49496213430188	6.95823282179044e-06	3.7761171983459	TRUE	0.875	0.96875	200	1000	1.64467321242319e-05
SCZ_FINNGEN_minus_PGC	ASD	SCZ	leave_one_auxiliary_out	9	24.581688909637	48.2186094049234	-23.6369204952864	5.38646348287445	-34.1943889217203	-13.0794520688524	-4.38820769331062	1.14288608262284e-05	3.62075831790439	TRUE	0.875	0.96875	200	1000	2.42225575975198e-05
SCZ_FINNGEN_minus_PGC	AUD	SCZ	leave_one_auxiliary_out	9	25.4105159778675	49.5538161339756	-24.1433001561082	5.33489721165431	-34.5996986909506	-13.6869016212657	-4.5255417673964	6.02409819654971e-06	3.1143786570826	TRUE	0.875	0.96875	200	1000	1.56626553110292e-05
SCZ_FINNGEN_minus_PGC	BD_PGC2021	SCZ	leave_one_auxiliary_out	9	6.8336147248845	27.8818914303635	-21.048276705479	3.15787827495545	-27.2377181243917	-14.8588352865663	-6.66532236926579	2.64085040598612e-11	6.20940210771177	TRUE	0.625	0.9375	200	1000	6.86621105556391e-10
SCZ_FINNGEN_minus_PGC	CUD_2023_EUR	SCZ	leave_one_auxiliary_out	9	25.8850085853925	48.0082141966158	-22.1232056112233	5.28114038435213	-32.4742407645534	-11.7721704578931	-4.18909629381823	2.80067546565461e-05	5.1344732019675	TRUE	0.875	0.96875	200	1000	4.49292824196602e-05
SCZ_FINNGEN_minus_PGC	MDD_CLIN_PGC2025	SCZ	leave_one_auxiliary_out	9	25.7433384770072	49.5667936370276	-23.8234551600204	5.16590298999833	-33.9486250204171	-13.6982852996237	-4.61167296523857	3.99441084476627e-06	3.43422365317039	TRUE	0.875	0.96875	200	1000	1.15394091071026e-05
SCZ_FINNGEN_minus_PGC	OCD_2025	SCZ	leave_one_auxiliary_out	9	25.8029297495639	49.5562777310237	-23.7533479814598	5.42862320273551	-34.3934494588214	-13.1132465040981	-4.37557500205399	1.21112787987599e-05	3.50433083173101	TRUE	0.875	0.96875	200	1000	2.42225575975198e-05
SCZ_FINNGEN_minus_PGC	PTSD	SCZ	leave_one_auxiliary_out	9	25.7948377988451	49.432792571384	-23.6379547725389	5.46883251715735	-34.3568665061673	-12.9190430389105	-4.32230365409429	1.54408476751189e-05	3.61972404065186	TRUE	0.875	0.96875	200	1000	2.67641359702061e-05
