Annotation	annotation_key	annotation_basename	annotation_class	published_label	domain	PGC_enrichment	FinnGen_enrichment	delta_FinnGen_minus_PGC	SE	z	P_two_sided	alpha_492	Bonferroni_significant_492	Annotation_model_warning	Annotation_model_error	QC_warning_free	contrast_status	PGC_enrichment_from_enrich	FinnGen_enrichment_from_enrich	Bonferroni_significant_492_warning_free
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.60.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.60.	Roadmap.60.	chromatin	Angular Gyrus H3K27ac	SUD	1.97811237778596	-8.54419261232019	-10.5223049901061	50.7469380799233	-0.207348568962607	0.835737645690108	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	1.97811237778596	-8.54419261232019	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.61.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.61.	Roadmap.61.	chromatin	Anterior Caudate H3K27ac	COMP	4.79079428788389	3.56803261765854	-1.22276167022535	1.67112221490142	-0.731700924876689	0.464351131790066	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.79079428788389	3.56803261765853	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.61.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.61.	Roadmap.61.	chromatin	Anterior Caudate H3K27ac	INT	3.32141120062454	2.01748577122482	-1.30392542939973	2.21141818452754	-0.58963313159076	0.555436634388961	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.32141120062454	2.01748577122482	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.61.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.61.	Roadmap.61.	chromatin	Anterior Caudate H3K27ac	SUD	3.81758399416618	14.3217441441343	10.5041601499681	42.9321809192772	0.244668682676953	0.806712978725314	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.81758399416618	14.3217441441343	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.62.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.62.	Roadmap.62.	chromatin	Cingulate Gyrus H3K27ac	COMP	5.38088088531798	3.02251534664164	-2.35836553867634	1.85671258566428	-1.27018341820125	0.204019302787416	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	5.38088088531798	3.02251534664164	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.62.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.62.	Roadmap.62.	chromatin	Cingulate Gyrus H3K27ac	INT	4.06009765886568	3.04347948837885	-1.01661817048683	2.36795480082145	-0.429323300484519	0.667687962412173	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.06009765886568	3.04347948837886	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.62.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.62.	Roadmap.62.	chromatin	Cingulate Gyrus H3K27ac	SUD	3.54243652196383	-49.1396045058215	-52.6820410277854	42.241628793193	-1.24715931967744	0.212339085792987	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.54243652196383	-49.1396045058215	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.63.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.63.	Roadmap.63.	chromatin	Middle Hippocampus H3K27ac	COMP	3.86985647573167	2.06699664767251	-1.80285982805916	1.59331759274767	-1.13151316238851	0.25783916661726	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	3.86985647573167	2.06699664767251	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.63.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.63.	Roadmap.63.	chromatin	Middle Hippocampus H3K27ac	INT	2.58934031341853	1.54896338973605	-1.04037692368248	1.97956870854035	-0.525557369741215	0.599195782853583	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	2.58934031341853	1.54896338973605	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.63.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.63.	Roadmap.63.	chromatin	Middle Hippocampus H3K27ac	SUD	2.27893447157179	-23.5324104588608	-25.8113449304326	36.0064135429828	-0.71685409321926	0.473464130389755	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	2.27893447157179	-23.5324104588608	FALSE
